selector,classifier,replication_mode,fold,n_train,n_test,n_test_fails,n_selected_features,BER,True+,True-,threshold_oof_global,alpha,gamma,C,n_neighbors
F-test,krr,with_missing_indicators,4,1410,157,11,40,0.2562266500622665,0.7272727272727273,0.7602739726027398,-0.09266566945701946,10.0,,,
F-test,krr,with_missing_indicators,5,1410,157,11,40,0.27677459526774595,0.7272727272727273,0.7191780821917808,-0.09266566945701946,10.0,,,
F-test,krr,with_missing_indicators,6,1410,157,11,40,0.28019925280199254,0.7272727272727273,0.7123287671232876,-0.09266566945701946,10.0,,,
F-test,krr,with_missing_indicators,7,1410,157,11,40,0.3359277708592777,0.6363636363636364,0.6917808219178082,-0.09266566945701946,10.0,,,
F-test,krr,with_missing_indicators,8,1411,156,10,40,0.40753424657534243,0.5,0.684931506849315,-0.09266566945701946,10.0,,,
F-test,krr,with_missing_indicators,9,1411,156,10,40,0.3212328767123288,0.7,0.6575342465753424,-0.09266566945701946,10.0,,,
F-test,krr,with_missing_indicators,10,1411,156,10,40,0.34041095890410955,0.6,0.7191780821917808,-0.09266566945701946,10.0,,,
Pearson,krr,strict,1,1410,157,10,40,0.17006802721088432,1.0,0.6598639455782312,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,2,1410,157,10,40,0.2438775510204081,0.9,0.6122448979591837,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,3,1410,157,10,40,0.2768707482993197,0.8,0.6462585034013606,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,4,1410,157,11,40,0.28268991282689915,0.8181818181818182,0.6164383561643836,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,5,1410,157,11,40,0.3452677459526774,0.7272727272727273,0.5821917808219178,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,6,1410,157,11,40,0.2201120797011208,0.9090909090909091,0.6506849315068494,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,7,1410,157,11,40,0.31008717310087164,0.8181818181818182,0.5616438356164384,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,8,1411,156,10,40,0.42808219178082196,0.5,0.6438356164383562,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,9,1411,156,10,40,0.36917808219178083,0.7,0.5616438356164384,-0.21159243730759902,10.0,0.1,,
Pearson,krr,strict,10,1411,156,10,40,0.24520547945205484,0.9,0.6095890410958904,-0.21159243730759902,10.0,0.1,,
Pearson,krr,with_missing_indicators,1,1410,157,10,40,0.12925170068027203,1.0,0.7414965986394558,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,2,1410,157,10,40,0.2370748299319727,0.9,0.6258503401360545,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,3,1410,157,10,40,0.33945578231292517,0.6,0.7210884353741497,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,4,1410,157,11,40,0.2562266500622665,0.7272727272727273,0.7602739726027398,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,5,1410,157,11,40,0.27677459526774595,0.7272727272727273,0.7191780821917808,-0.09266566945701946,10.0,,,
